Prompt: scope of datascience
CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O         BLOCK I/O        PIDS
64d31df08787   llama_training_container   1.61%     315.6MiB / 7.485GiB   4.12%     233MB / 4.33MB   63.2MB / 209MB   10

64d31df08787   llama_training_container   3.80%     320.2MiB / 7.485GiB   4.18%     424MB / 7.89MB   63.2MB / 398MB   10

64d31df08787   llama_training_container   0.91%     325.6MiB / 7.485GiB   4.25%     615MB / 11.3MB   63.2MB / 586MB   10

64d31df08787   llama_training_container   0.98%     331.2MiB / 7.485GiB   4.32%     805MB / 14.8MB   63.2MB / 681MB   10

64d31df08787   llama_training_container   0.61%     335.6MiB / 7.485GiB   4.38%     995MB / 18.3MB   63.2MB / 870MB   10

64d31df08787   llama_training_container   1.29%     340.9MiB / 7.485GiB   4.45%     1.19GB / 21.8MB   63.2MB / 1.06GB   10

64d31df08787   llama_training_container   1.44%     346.5MiB / 7.485GiB   4.52%     1.38GB / 25.4MB   63.2MB / 1.25GB   10

64d31df08787   llama_training_container   0.50%     351.6MiB / 7.485GiB   4.59%     1.57GB / 28.9MB   63.2MB / 1.44GB   10

64d31df08787   llama_training_container   0.99%     356.6MiB / 7.485GiB   4.65%     1.76GB / 32.4MB   63.2MB / 1.62GB   10

64d31df08787   llama_training_container   4.50%     362.1MiB / 7.485GiB   4.72%     1.95GB / 36MB   63.2MB / 1.81GB   10

64d31df08787   llama_training_container   4.61%     367MiB / 7.485GiB   4.79%     2.14GB / 39.2MB   63.2MB / 2GB   10

64d31df08787   llama_training_container   1.69%     373MiB / 7.485GiB   4.87%     2.33GB / 42.7MB   63.2MB / 2.19GB   10

64d31df08787   llama_training_container   4.31%     377.5MiB / 7.485GiB   4.92%     2.52GB / 46.1MB   63.2MB / 2.38GB   10

64d31df08787   llama_training_container   3.57%     383.1MiB / 7.485GiB   5.00%     2.71GB / 49.4MB   63.2MB / 2.57GB   10

64d31df08787   llama_training_container   2.47%     388.7MiB / 7.485GiB   5.07%     2.9GB / 53.1MB   63.2MB / 2.76GB   10

64d31df08787   llama_training_container   2.54%     394.3MiB / 7.485GiB   5.14%     3.1GB / 56.6MB   63.2MB / 2.95GB   10

64d31df08787   llama_training_container   1.34%     393.4MiB / 7.485GiB   5.13%     3.29GB / 60.1MB   63.2MB / 3.13GB   10

64d31df08787   llama_training_container   7.75%     397MiB / 7.485GiB   5.18%     3.48GB / 63.5MB   63.2MB / 3.32GB   10

64d31df08787   llama_training_container   3.50%     399.6MiB / 7.485GiB   5.21%     3.67GB / 67MB   63.2MB / 3.51GB   10

64d31df08787   llama_training_container   7.35%     399.1MiB / 7.485GiB   5.21%     3.86GB / 70.4MB   63.2MB / 3.7GB   10

64d31df08787   llama_training_container   2.15%     402.5MiB / 7.485GiB   5.25%     4.05GB / 73.8MB   63.2MB / 3.89GB   10

64d31df08787   llama_training_container   5.45%     403.2MiB / 7.485GiB   5.26%     4.24GB / 77.1MB   63.2MB / 4.08GB   10

64d31df08787   llama_training_container   1.39%     404MiB / 7.485GiB   5.27%     4.43GB / 80.6MB   63.2MB / 4.27GB   10

